index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Summon Pet 19	467	100		1	1				1		200	1	cm0	The Summoner	1052	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet The Summoner	1	1																																														0
Summon Pet 20	468	100		1	1				1		200	1	cm0	Ancient Kaa the Soulless	1053	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Ancient Kaa the Soulless	1	1																																														0
Summon Pet 21	469	100		1	1				1		200	1	cm0	The Smith	1054	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet The Smith	1	1																																														0
Summon Pet 22	470	100		1	1				1		200	1	cm0	Web Mage the Burning	1055	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Web Mage the Burning	1	1																																														0
Summon Pet 23	471	100		1	1				1		200	1	cm0	Witch Doctor Endugu	1056	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Witch Doctor Endugu	1	1																																														0
Summon Pet 24	472	100		1	1				1		200	1	cm0	Stormtree	1057	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Stormtree	1	1																																														0
Summon Pet 25	473	100		1	1				1		200	1	cm0	Sarina the Battlemaid	1058	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Sarina the Battlemaid	1	1																																														0
Summon Pet 26	474	100		1	1				1		200	1	cm0	Icehawk Riftwing	1059	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Icehawk Riftwing	1	1																																														0
Summon Pet 27	475	100		1	1				1		200	1	cm0	Ismail Vilehand	1060	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Ismail Vilehand	1	1																																														0
Summon Pet 28	476	100		1	1				1		200	1	cm0	Geleb Flamefinger	1061	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Geleb Flamefinger	1	1																																														0
Summon Pet 29	477	100		1	1				1		200	1	cm0	Bremm Sparkfist	1062	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Bremm Sparkfist	1	1																																														0
Summon Pet 30	478	100		1	1				1		200	1	cm0	Toorc Icefist	1063	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Toorc Icefist	1	1																																														0
Summon Pet 31	479	100		1	1				1		200	1	cm0	Wyand Voidfinger	1064	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Wyand Voidfinger	1	1																																														0
Summon Pet 32	480	100		1	1				1		200	1	cm0	Maffer Dragonhand	1065	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Maffer Dragonhand	1	1																																														0
Summon Pet 33	481	100		1	1				1		200	1	cm0	Winged Death	1066	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Winged Death	1	1																																														0
Summon Pet 34	482	100		1	1				1		200	1	cm0	The Tormentor	1067	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet The Tormentor	1	1																																														0
Summon Pet 35	483	100		1	1				1		200	1	cm0	Taintbreeder	1068	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Taintbreeder	1	1																																														0
Summon Pet 36	484	100		1	1				1		200	1	cm0	Riftwraith the Cannibal	1069	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Riftwraith the Cannibal	1	1																																														0
Summon Pet 37	485	100		1	1				1		200	1	cm0	Infector of Souls	1070	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Infector of Souls	1	1																																														0
Summon Pet 38	486	100		1	1				1		200	1	cm0	Lord De Seis	1071	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Lord De Seis	1	1																																														0
Summon Pet 39	487	100		1	1				1		200	1	cm0	Grand Vizier of Chaos	1072	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Grand Vizier of Chaos	1	1																																														0
Summon Pet 40	488	100		1	1				1		200	1	cm0	The Cow King	1073	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet The Cow King	1	1																																														0
Summon Pet 41	489	100		1	1				1		200	1	cm0	Corpsefire	1074	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Corpsefire	1	1																																														0
Summon Pet 42	490	100		1	1				1		200	1	cm0	The Feature Creep	1075	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet The Feature Creep	1	1																																														0
Summon Pet 43	491	100		1	1				1		200	1	cm0	Siege Boss	1076	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Siege Boss	1	1																																														0
Summon Pet 44	492	100		1	1				1		200	1	cm0	Ancient Barb1	1077	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Ancient Barb1	1	1																																														0
Summon Pet 45	493	100		1	1				1		200	1	cm0	Ancient Barb2	1078	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Ancient Barb2	1	1																																														0
Summon Pet 46	494	100		1	1				1		200	1	cm0	Ancient Barb3	1079	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Ancient Barb3	1	1																																														0
Summon Pet 47	495	100		1	1				1		200	1	cm0	Axe Dweller	1080	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Axe Dweller	1	1																																														0
Summon Pet 48	496	100		1	1				1		200	1	cm0	Bonesaw Breaker	1081	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Bonesaw Breaker	1	1																																														0
Summon Pet 49	497	100		1	1				1		200	1	cm0	Dac Farren	1082	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Dac Farren	1	1																																														0
Summon Pet 50	498	100		1	1				1		200	1	cm0	Megaflow Rectifier	1083	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Megaflow Rectifier	1	1																																														0
Summon Pet 51	499	100		1	1				1		200	1	cm0	Eyeback Unleashed	1084	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Eyeback Unleashed	1	1																																														0
Summon Pet 52	500	100		1	1				1		200	1	cm0	Threash Socket	1085	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Threash Socket	1	1																																														0
Summon Pet 53	501	100		1	1				1		200	1	cm0	Pindleskin	1086	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Pindleskin	1	1																																														0
Summon Pet 54	502	100		1	1				1		200	1	cm0	Snapchip Shatter	1087	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Snapchip Shatter	1	1																																														0
Summon Pet 55	503	100		1	1				1		200	1	cm0	Anodized Elite	1088	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Anodized Elite	1	1																																														0
Summon Pet 56	504	100		1	1				1		200	1	cm0	Vinvear Molech	1089	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Vinvear Molech	1	1																																														0
Summon Pet 57	505	100		1	1				1		200	1	cm0	Sharp Tooth Sayer	1090	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Sharp Tooth Sayer	1	1																																														0
Summon Pet 58	506	100		1	1				1		200	1	cm0	Magma Torquer	1091	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Magma Torquer	1	1																																														0
Summon Pet 59	507	100		1	1				1		200	1	cm0	Blaze Ripper	1092	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Blaze Ripper	1	1																																														0
Summon Pet 60	508	100		1	1				1		200	1	cm0	Frozenstein	1093	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Frozenstein	1	1																																														0
Summon Pet 61	509	100		1	1				1		200	1	cm0	Nihlathak	1094	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Nihlathak	1	1																																														0
Summon Pet 62	510	100		1	1				1		200	1	cm0	baalminion1	1095	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet baalminion1	1	1																																														0
Summon Pet 63	511	100		1	1				1		200	1	cm0	Andariel	1096	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	Pet Andariel	1	1																																														0
Summon Pet 64	512	100		1	1				1		200	1	cm0	Duriel	1097	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	Pet Duriel	1	1																																														0
Summon Pet 65	513	100		1	1				1		200	1	cm0	Mephisto	1098	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	Pet Mephisto	1	1																																														0
Summon Pet 66	514	100		1	1				1		200	1	cm0	Diablo	1099	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	Pet Diablo	1	1																																														0
Summon Pet 67	515	100		1	1				1		200	1	cm0	Baal	1100	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	Pet Baal	1	1																																														0
Summon Pet 68	516	100		1	1				1		200	1	cm0	Izual	1101	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	Pet Izual	1	1																																														0
Summon Pet 69	517	100		1	1				1		200	1	cm0	Tyrael	1102	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet Tyrael	1	1																																														0
Summon Pet 70	518	100		1	1				1		200	1	cm0	malachai	1103	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet malachai	1	1																																														0
Summon Pet 71	519	100		1	1				1		200	1	cm0	bloodraven	1104	3	100000		dred		invtrch	item_card1	12	item_gem	oskill	pet bloodraven	1	1																																														0
absorption	520	100		1					1		320	250	rin	Ring		5	5000	dred	dred						abs-fire%		5	10	abs-cold%		5	10	abs-ltng%		5	10	abs-mag%		5	10	red-dmg%		5	15	res-pois-len		50	50	allskills		0	3																						0
sufferinghorn	521	100		1					1		310	255	cm1	charm	1105	3	5000			flpfang	invfang	item_monsterguts	12	item_monsterguts	aura	Cleansing	1	1	state	monstersetduriel	0	1	levelreq		25	25																																						0
nickname 8	522	100			1				1	1	1	1	c3m	charm	1106	3	5000			flpgsr	invc3m	item_gem	12	item_gem	state	nick_immotal	1	1																																														0
nickname 9	523	100			1				1	1	1	1	c4m	charm	1107	3	5000			flpgsr	invc4m	item_gem	12	item_gem	state	nick_angel	1	1																																														0
nickname 10	524	100			1				1	1	1	1	c5m	charm	1108	3	5000			flpgsr	invc5m	item_gem	12	item_gem	state	nick_breaker	1	1																																														0
nickname 11	525	100	1		1				1	1	1	1	c6m	charm	1109	3	5000			flpgsr	invc6m	item_gem	12	item_gem	state	nick_soul	1	1																																														0
Ali Knuckle	526	100		1					1		320	255	tkl	Tyson Knuckles		5	5000	dblu			invalik	item_gloves	12	item_gloves	dmg/lvl	10			indestruct		1	1	dmg		1	150	swing2		60	60	att		300	500	allskills		0	3	sock		1	4	aura	122	5	10	hit-skill	258	3	6	regen		-50	-50	hp%		5	10	ilvlx		20	20		0
Lol	527	100		1					1		222	115	crs	Crystal Sword		5	5000	blac		flpcrs	invcrs7				dmg%		90	120	manasteal		5	5	allskills		0	2	dmg-max		15	15	mag%		50	50	ease		-20	-20	hp%		10	20	sock		1	2													ilvlx		20	20		0
Zhongnan Leader	528	100		1					1		255	245	7fb	Colossal Sword		5	5000	blac		flpflb	inv7fb				dmg/lvl	18			noheal		1	1	dmg		20	90	dmg%		180	200	sock		0	3	rep-dur	25																							ilvlx		20	20		0
Bolfkang the Storm	529	100		1					1		255	190	7cm	Highland Blade		5	5000	blac		flpgis	inv7cm				dmg%		250	300	ac-miss		200	200	allskills		0	2	all-stats		20	20	swing3		50	50	att/lvl	12			reduce-ac		60	60	sock		1	2	dmg		100	200									ilvlx		20	20		0
Millionaire	530	100		1					1		255	245	7ax	Small Crescent		5	5000	blac		flpaxe	inv7ax				dmg/lvl	18			sock		1	6	gold%/lvl	15			mag%/lvl	6			gold%		150	150	balance2		20	20	hp%		10	20	oskill	142	0	1													ilvlx		20	20		0
King of Pluto Jinrice	531	100		1					1		255	245	6bs	Shillelagh		5	5000	blac		flpbst	inv6bs				allskills		1	6	cast2		35	35	mana%		40	40	dmg		200	200	all-stats/lvl	3			sock		1	4	red-dmg%		30	30																	ilvlx		20	20		0
King of Baduk	532	100		1					1		255	245	7yw	Ghost Wand		5	5000	blac		flpywn	inv7yw				oskill	Magic Mastery	5	15	nec		1	3	cast2		30	30	pierce-fire		10	15	pierce-dmg		10	15	pierce-mag		10	15	hp/lvl	12			gethit-skill	68	20	50													ilvlx		20	20		0
Dream of a Sharp Square	533	100		1					1		255	245	6s7	Diamond Bow		5	5000	blac		flpsbb	inv6s7				dmg%		300	350	swing3		50	50	dmg-to-mana		30	30	lifesteal		10	15	allskills		1	2	sock		1	2	knock		1	1	dmg/lvl	23															ilvlx		20	20		0
Alcoholic Cheolhoon	534	100		1					1		255	245	7pi	Stygian Pilum		5	5000	blac		flppil	inv7pi				dmg%		350	500	rep-quant	30			lifesteal		10	10	pierce-pois		10	25	knock		1	1	pierce-dmg		5	10	heal-kill		10	14																	ilvlx		20	20		0
Church Brother	535	100		1					1		255	245	7st	Ghost Spear		5	5000	blac		flpspt	inv7st				dmg		100	300	dmg%/lvl	21			att%		50	100	deadly		20	50	reduce-ac		30	30	slow		30	30	indestruct		1	1	sock		0	2													ilvlx		20	20		0
Killer Rabbit	536	100		1					1		255	245	7h7	Great Poleaxe		5	5000	blac		flphal	inv7h7				dmg/lvl	23			dmg%		250	280	hp%		10	20	mana%		10	20	noheal		1	1	ac/lvl	40			oskill	Evade	1	1	att/lvl	16															ilvlx		20	20		0
Hong Bensi	537	100		1					1		255	245	7tk	Flying Knife		5	5000	blac		flptkn	inv7tk				dmg/lvl	12			dmg%		300	400	dmg-min		50	50	pierce		100	100	allskills		1	2	hit-skill	258	5	20	knock		1	1	oskill	Throwing Mastery	0	1													ilvlx		20	20		0
wolverine	538	100		1					1		320	255	nkw	Wolf Clawl		5	5000	blac			invnkw1				dru		1	2	dmg/lvl	16			dmg%		250	280	charge-noconsume		25	25	pierce-fire		5	10	pierce-cold		5	10	ease		-20	-20	ignore-ac		1	1	noheal		1	1	sock		1	2					ilvlx		20	20		0
king of salmon	539	100		1					1		320	255	nkb	Bear Clawl		5	5000	blac			invnkb1				dru		1	3	dmg/lvl	20			dmg%		300	400	charge-noconsume		50	50	pierce-fire		10	15	pierce-cold		10	15	ease		-20	-20	ignore-ac		1	1	noheal		1	1	sock		1	2	balance2		30	30	ilvlx		20	20		0
longinus	540	100		1					1		320	255	azf	Amazoness Javelin		5	5000	whit			invazf1				ama		1	3	skilltab	2	1	3	dmg%		300	400	pierce-ltng		15	20	rep-quant	30			str		20	30	dex		20	30	manasteal		5	5	sock		1	2									ilvlx		20	20		0
legacy of the spirit	541	100		1					1		320	255	amg	Coilspring Crossbow		5	5000	blac			invam61				hit-skill	93	4	30	ama		1	3	dmg%		200	300	dmg/lvl	20			knock		1	1	pierce		100	100	lifesteal		5	10	skilltab	0	1	3	sock		1	2	swing3		20	20					ilvlx		20	20		0
deadpool	542	100		1					1		320	255	cps	kopis_sword		5	5000	blac			invcps1				charge-noconsume		25	50	swing3		50	50	dmg%		250	300	ass		1	2	skilltab	20	1	3	att%		20	20	dmg-norm		30	60	pierce-fire		5	10	pierce-cold		5	10	pierce-ltng		5	10	sock		1	2	ilvlx		20	20		0
nickname ar	543	100		1					1		1	1	cm4	charm	1110	3	5000			flpgsw	invcount	item_gem	12	item_gem	state	name_ar	1	1																																														0
UEnigma	544	100		1					1		320	195	uth	Lacquered Plate		5	5000	dpur	dpur						ac		750	775	heal-kill		14	14	move2		45	45	str/lvl	6			allskills		2	2	mag%/lvl	8			oskill	Teleport	1	1					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UChains of Honor	545	100		1					1		320	189	uar	Sacred Armor		5	5000	dpur	dpur						res-all		50	50	ac%		70	70	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UStealth	546	100		1					1		51	34	qui	Quilted Armor		5	5000	dpur	dpur						red-mag		3	3	dex		6	6	stam		15	15	move2		25	25	cast2		25	25	balance2		25	25									sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UMyth	547	100		1					1		75	50	brs	Breast Plate		5	5000	dpur	dpur						hit-skill	Taunt	10	1	gethit-skill	Howl	3	1	bar		2	2	regen		10	10																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UPeace	548	100		1					1		87	58	ltp	Light Plate		5	5000	dpur	dpur						hit-skill	Valkyrie	2	15	gethit-skill	Slow Missiles	4	5	ama		2	2	oskill	Critical Strike	2	2																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
USmoke	549	100		1					1		111	74	gth	Gothic Plate		5	5000	dpur	dpur						ac-miss		250	250	ac%		75	75	res-all		50	50	balance2		20	20	light		-1	-1	charged	72	18	6									sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UHustleA	550	100		1					1		117	78	aar	Ancient Armor		5	5000	dpur	dpur						move2		65	65	stamdrain		35	35	swing2		40	40	res-all		10	10	oskill	Evade	6	6													sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
ULionheart	551	100		1					1		123	82	xng	Linked Mail		5	5000	dblu	dblu						str		15	15	vit		20	20	dex		15	15	dmg%		20	20	hp		50	50	res-all		30	30									sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UTreachery	552	100		1					1		129	86	xhn	Mesh Armor		5	5000	dblu	dblu						hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UWealth	553	100		1					1		129	86	xpl	Russet Armor		5	5000	dblu	dblu						gold%		250	250	mag%		100	100																									sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UEnlightenment	554	100		1					1		135	90	xtu	Trellised Armor		5	5000	dblu	dblu						hit-skill	Fire Ball	5	15	gethit-skill	Blaze	5	15	sor		2	2	oskill	Warmth	1	1																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UBoneA	555	100		1					1		211	141	xrs	Cuirass		5	5000	dblu	dblu						hit-skill	tBone Spear	15	10	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UGloom	556	100		1					1		211	141	xth	Embossed Plate		5	5000	dblu	dblu						ac%		170	230	res-all		30	30	gethit-skill	Dim Vision	15	3	balance2		10	10	dmg-to-mana		5	5	light		-3	-3	half-freeze		1	1					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UDuress	557	100		1					1		211	141	xul	Chaos Armor		5	5000	dblu	dblu						dmg-cold	50	37	133	dmg%		10	20	ac%		150	200	balance2		20	20	openwounds		33	33	crush		15	15	stamdrain		-20	-20					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UStoneA	558	100		1					1		211	141	xar	Ornate Armor		5	5000	dblu	dblu						ac%		220	260	charged	Clay Golem	16	16	ac-miss		300	300	charged	Molten Boulder	80	16	str		16	16	vit		16	16	balance2		40	40					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UPrudence	559	100		1					1		220	147	uui	Dusk Shroud		5	5000	dred	dred						ac%		140	170	red-mag		10	10	red-dmg		3	3	res-all		25	35	balance2		25	25	rep-dur	25			light		1	1					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
URain	560	100		1					1		220	147	uea	Wyrmhide		5	5000	dred	dred						hit-skill	Twister	5	15	gethit-skill	Cyclone Armor	5	15	dru		2	2	mana		100	150																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UPrinciple	561	100		1					1		238	159	ula	Scarab Husk		5	5000	dred	dred						hit-skill	Holy Bolt	100	5	pal		2	2	hp		100	150	dmg-undead		50	50																	sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UBramble	562	100		1					1		320	183	utu	Wire Fleece		5	5000	dred	dred						balance2		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	charged	Spirit of Barbs	33	13					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UFortitude	563	100		1					1		320	177	uhn	Boneweave		5	5000	dred	dred						ac%		200	200	dmg%		300	300	cast3		25	25	gethit-skill	Chilling Armor	20	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UDragon	564	100		1					1		320	183	ult	Hellforge Plate		5	5000	dred	dred						ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	15	gethit-skill	Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5					sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EStealth	565	100		1					1		335	34	qui	Quilted Armor		5	5000	bwht	bwht						red-mag		5	5	dex		9	9	stam		25	25	move2		40	40	cast2		40	40	balance2		40	40									sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EMyth	566	100		1					1		335	50	brs	Breast Plate		5	5000	bwht	bwht						hit-skill	Taunt	10	2	gethit-skill	Howl	3	2	bar		3	3	regen		15	15																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EPeace	567	100		1					1		335	58	ltp	Light Plate		5	5000	bwht	bwht						hit-skill	Valkyrie	2	23	gethit-skill	Slow Missiles	4	12	ama		3	3	oskill	Critical Strike	3	3																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
ESmoke	568	100		1					1		335	74	gth	Gothic Plate		5	5000	bwht	bwht						ac-miss		375	375	ac%		110	110	res-all		75	75	balance2		30	30	light		-2	-2	charged	72	18	6									sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EHustleA	569	100		1					1		335	78	aar	Ancient Armor		5	5000	bwht	bwht						move2		95	95	stamdrain		50	50	swing2		60	60	res-all		15	15	oskill	Evade	9	9													sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
ELionheart	570	100		1					1		335	82	xng	Linked Mail		5	5000	whit	whit						str		23	23	vit		35	35	dex		23	23	dmg%		30	30	hp		75	75	res-all		45	45									sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
ETreachery	571	100		1					1		335	86	xhn	Mesh Armor		5	5000	whit	whit						hit-skill	Venom	25	23	gethit-skill	Fade	5	23	ass		3	3	swing2		65	65																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EWealth	572	100		1					1		335	86	xpl	Russet Armor		5	5000	whit	whit						gold%		375	375	mag%		150	150																									sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EEnlightenment	573	100		1					1		335	90	xtu	Trellised Armor		5	5000	whit	whit						hit-skill	Fire Ball	5	23	gethit-skill	Blaze	5	23	sor		3	3	oskill	Warmth	2	2																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EBoneA	574	100		1					1		335	141	xrs	Cuirass		5	5000	whit	whit						hit-skill	tBone Spear	15	15	gethit-skill	Bone Armor	15	15	nec		3	3	mana		150	225																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EGloom	575	100		1					1		335	141	xth	Embossed Plate		5	5000	whit	whit						ac%		300	345	res-all		45	45	gethit-skill	Dim Vision	15	5	balance2		15	15	dmg-to-mana		8	8	light		-5	-5	half-freeze		1	1					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EDuress	576	100		1					1		335	141	xul	Chaos Armor		5	5000	whit	whit						dmg-cold	50	56	200	dmg%		15	35	ac%		225	300	balance2		30	30	openwounds		50	50	crush		23	23	stamdrain		-30	-30					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EStoneA	577	100		1					1		335	141	xar	Ornate Armor		5	5000	whit	whit						ac%		330	390	charged	Clay Golem	16	24	ac-miss		450	450	charged	Molten Boulder	80	16	str		24	24	vit		24	24	balance2		60	60					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EPrudence	578	100		1					1		335	147	uui	Dusk Shroud		5	5000	dgld	dgld						ac%		210	255	red-mag		15	15	red-dmg		5	5	res-all		40	55	balance2		40	40	rep-dur	25			light		2	2					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
ERain	579	100		1					1		335	147	uea	Wyrmhide		5	5000	dgld	dgld						hit-skill	Twister	5	23	gethit-skill	Cyclone Armor	5	23	dru		3	3	mana		150	225																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EPrinciple	580	100		1					1		335	159	ula	Scarab Husk		5	5000	dgld	dgld						hit-skill	Holy Bolt	100	8	pal		3	3	hp		150	225	dmg-undead		75	75																	sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EBramble	581	100		1					1		335	183	utu	Wire Fleece		5	5000	dgld	dgld						balance2		75	75	ac		450	450	aura	Thorns	23	32	heal-kill		20	20	extra-pois		38	75	res-pois		150	150	charged	Spirit of Barbs	33	13					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EFortitude	582	100		1					1		335	177	uhn	Boneweave		5	5000	dgld	dgld						ac%		300	300	dmg%		450	450	cast3		38	38	gethit-skill	Chilling Armor	20	23	dmg-to-mana		18	18	hp/lvl		12	18	res-all		35	45					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EDragon	583	100		1					1		335	183	ult	Hellforge Plate		5	5000	dgld	dgld						ac		540	540	ac-miss		345	345	str/lvl	5			hit-skill	Hydra	12	23	gethit-skill	Venom	20	27	aura	Holy Fire	21	21	all-stats		5	8					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EEnigma	584	100		1					1		335	195	uth	Lacquered Plate		5	5000	dgld	dgld						ac		1125	1165	heal-kill		21	21	move2		68	68	str/lvl	9			allskills		3	3	mag%/lvl	8			oskill	Teleport	2	2					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
EChains of Honor	585	100		1					1		335	189	uar	Sacred Armor		5	5000	dgld	dgld						res-all		75	75	ac%		105	105	dmg-demon		300	300	dmg-undead		150	150	lifesteal		12	12	allskills		3	3	str		30	30					sock		0	4	onlyoneAllitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
UNadir	586	100		1					1		33	22	cap	Cap		5	5000	dpur	dpur						ac%		50	50	ac		10	10	light		-3	-3	charged	264	9	13	gold%		-33	-33	str		5	5									sock		0	4	onlyoneitem		1	1	death-skill-new	579	100	1	ilvlx		20	20		0
