Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ConditionCalc	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	QuestFlag	QuestFlagEx	*eol
Andarielq (H)			7	1024	800	800	800	0	Act 2 (H) Equip A	22	Act 2 (H) Good	1	bt1	2	ts4	1	card p63	1	Ancient Statue 1	2	socket item groups	1																0
Andarielq Item (H) Desecrated A			7	1024	800	800	800	0	Act 3 (H) Equip B	22	Act 3 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated B			7	1024	800	800	800	0	Act 3 (H) Equip C	22	Act 3 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated C			7	1024	800	800	800	0	Act 4 (H) Equip A	22	Act 4 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated D			7	1024	800	800	800	0	Act 4 (H) Equip B	22	Act 4 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated E			7	1024	800	800	800	0	Act 4 (H) Equip C	22	Act 4 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated F			7	1024	800	800	800	0	Act 5 (H) Equip C	22	Act 5 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated G			7	1024	800	800	800	0	Act 5 (H) Equip B	22	Act 5 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq Item (H) Desecrated H			7	1024	800	800	800	0	Act 5 (H) Equip C	22	Act 5 (H) Good	1	bt1	2	ts4	1	ts5	1	Ancient Statue 1	2																		0
Andarielq (H) Desecrated A	20	222	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated A	1	socket item groups	1																						0
Andarielq (H) Desecrated B	20	234	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated B	1	socket item groups	1																						0
Andarielq (H) Desecrated C	20	243	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated C	1	socket item groups	1																						0
Andarielq (H) Desecrated D	20	252	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated D	1	socket item groups	1																						0
Andarielq (H) Desecrated E	20	261	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated E	1	socket item groups	1																						0
Andarielq (H) Desecrated F	20	270	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated F	1	socket item groups	1																						0
Andarielq (H) Desecrated G	20	279	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated G	1	socket item groups	1																						0
Andarielq (H) Desecrated H	20	288	-3						Sunder Charms	1	card p63	1	Andarielq Item (H) Desecrated H	1	socket item groups	1																						0
Duriel - Base			7	983	983	983	1024	0	Act 3 Equip A	19	Act 3 Junk	3	Act 3 Good	1	br2	2	ts4	1																				0
Duriel - Base Desecrated A			7	983	983	983	1024	0	Act 3 Equip B	19	Act 3 Junk	3	Act 3 Good	1	br2	2	ts4	1																				0
Duriel - Base Desecrated B			7	983	983	983	1024	0	Act 5 Equip B	19	Act 5 Junk	3	Act 5 Good	1	br2	2	ts4	1																				0
Duriel - Base Desecrated C			7	983	983	983	1024	0	Act 3 (N) Equip A	19	Act 3 (N) Junk	3	Act 3 (N) Good	1	br2	2	ts4	1																				0
Duriel (N) - Base			7	983	983	983	1024	0	Act 3 (N) Equip A	19	Act 3 (N) Junk	3	Act 3 (N) Good	1	bs2	2	ts4	1																				0
Duriel (N) - Base Desecrated A			7	983	983	983	1024	0	Act 4 (N) Equip A	19	Act 4 (N) Junk	3	Act 4 (N) Good	1	bs2	2	ts4	1																				0
Duriel (N) - Base Desecrated B			7	983	983	983	1024	0	Act 5 (N) Equip B	19	Act 5 (N) Junk	3	Act 5 (N) Good	1	bs2	2	ts4	1																				0
Duriel (N) - Base Desecrated C			7	983	983	983	1024	0	Act 3 (H) Equip A	19	Act 3 (H) Junk	3	Act 3 (H) Good	1	bs2	2	ts4	1																				0
Duriel (H) - Base			7	983	983	983	1024	0	Act 3 (H) Equip A	19	Act 3 (H) Junk	3	Act 3 (H) Good	1	tes	2	bt2	2	ts4	1	Ancient Statue 2	1																0
Duriel (H) - Base Desecrated A			7	983	983	983	1024	0	Act 4 (H) Equip B	19	Act 4 (H) Junk	3	Act 4 (H) Good	1	tes	2	bt2	2	ts4	1	ts5	1	Ancient Statue 2	1														0
Duriel (H) - Base Desecrated B			7	983	983	983	1024	0	Act 5 (H) Equip A	19	Act 5 (H) Junk	3	Act 5 (H) Good	1	tes	2	bt2	2	ts4	1	ts5	1	Ancient Statue 2	1														0
Duriel (H) - Base Desecrated C			7	983	983	983	1024	0	Act 5 (H) Equip C	19	Act 5 (H) Junk	3	Act 5 (H) Good	1	tes	2	bt2	2	ts4	1	ts5	1	Ancient Statue 2	1														0
Duriel (H) - Base Desecrated D			7	983	983	983	1024	0	Act 5 (H) Equip C	19	Act 5 (H) Junk	3	Act 5 (H) Good	1	tes	2	bt2	2	ts4	1	ts5	1	Ancient Statue 2	1														0
Durielq - Base			7	993	993	1024	1024	0	Act 3 Equip A	22	Act 3 Good	1	br2	2	ts4	1																						0
Durielq (N) - Base			7	993	993	1024	1024	0	Act 3 (N) Equip A	33	Act 3 (N) Good	1	bs2	2	ts4	1																						0
Durielq (H) - Base			7	993	993	1024	1024	0	Act 3 (H) Equip A	44	Act 3 (H) Good	3	tes	2	xrs	1	bt2	2	ts4	1																		0
Radament			5	1024	800	800	800	0	Act 3 Equip B	3	Act 3 Junk	3	Act 3 Good	7																								0
Radament Desecrated A	21	57	5	1024	800	800	800	0	Act 3 Equip B	3	Act 3 Junk	3	Act 3 Good	7																								0
Radament Desecrated B	21	99	5	1024	800	800	800	0	Act 4 Equip B	3	Act 4 Junk	3	Act 4 Good	7																								0
Radament Desecrated C	21	144	5	1024	800	800	800	0	Act 3 (N) Equip A	3	Act 3 (N) Junk	3	Act 3 (N) Good	7																								0
Radament (N)			5	1024	800	800	800	0	Act 3 (N) Equip B	3	Act 3 (N) Junk	3	Act 3 (N) Good	7																								0
Radament (N) Desecrated A	21	156	5	1024	800	800	800	0	Act 3 (N) Equip C	3	Act 3 (N) Junk	3	Act 3 (N) Good	7																								0
Radament (N) Desecrated B	21	186	5	1024	800	800	800	0	Act 5 (N) Equip A	3	Act 5 (N) Junk	3	Act 5 (N) Good	7																								0
Radament (N) Desecrated C	21	219	5	1024	800	800	800	0	Act 3 (H) Equip A	3	Act 3 (H) Junk	3	Act 3 (H) Good	7																								0
Radament (H)			5	1024	800	800	800	0	Act 3 (H) Equip C	3	Act 3 (H) Junk	3	Act 3 (H) Good	7	card p11	1																						0
Radament Item (H) Desecrated A			5	1024	800	800	800	0	Act 4 (H) Equip B	3	Act 4 (H) Junk	3	Act 4 (H) Good	7																								0
Radament Item (H) Desecrated B			5	1024	800	800	800	0	Act 5 (H) Equip A	3	Act 5 (H) Junk	3	Act 5 (H) Good	7																								0
Radament Item (H) Desecrated C			5	1024	800	800	800	0	Act 5 (H) Equip B	3	Act 5 (H) Junk	3	Act 5 (H) Good	7																								0
Radament Item (H) Desecrated D			5	1024	800	800	800	0	Act 5 (H) Equip C	3	Act 5 (H) Junk	3	Act 5 (H) Good	7																								0
Radament (H) Desecrated A	21	258	-3						Sunder Charms	1	Radament Item (H) Desecrated A	1	card p11	1																								0
Radament (H) Desecrated B	21	270	-3						Sunder Charms	1	Radament Item (H) Desecrated B	1	card p11	1																								0
Radament (H) Desecrated C	21	279	-3						Sunder Charms	1	Radament Item (H) Desecrated C	1	card p11	1																								0
Radament (H) Desecrated D	21	288	-3						Sunder Charms	1	Radament Item (H) Desecrated D	1	card p11	1																								0
Flying Scimitar			1	999	899	850	800	0	Act 2 Good	3	scm	57																										0
Flying Scimitar (N)			1	999	899	850	800	0	Act 2 (N) Good	3	scm	25	9sm	32																								0
Flying Scimitar (H)			1	999	899	850	800	0	Act 2 (H) Good	3	scm	7	9sm	18	7sm	32																						0
Mephisto			7	1024	800	800	800	0	Act 4 Equip A	15	Act 4 Junk	3	Act 4 Good	1	br3	2	ts4	1	socket item groups	1																		0
Mephisto Desecrated A	22	78	7	1024	800	800	800	0	Act 4 Equip A	15	Act 4 Junk	3	Act 4 Good	1	br3	2	ts4	1																				0
Mephisto Desecrated B	22	114	7	1024	800	800	800	0	Act 5 Equip C	15	Act 5 Junk	3	Act 5 Good	1	br3	2	ts4	1																				0
Mephisto Desecrated C	22	144	7	1024	800	800	800	0	Act 3 (N) Equip A	15	Act 3 (N) Junk	3	Act 3 (N) Good	1	br3	2	ts4	1																				0
Mephisto (N)			7	1024	800	800	800	0	Act 4 (N) Equip A	15	Act 4 (N) Junk	3	Act 4 (N) Good	1	bs3	2	ts4	1	socket item groups	1																		0
Mephisto (N) Desecrated A	22	177	7	1024	800	800	800	0	Act 4 (N) Equip B	15	Act 4 (N) Junk	3	Act 4 (N) Good	1	bs3	2	ts4	1																				0
Mephisto (N) Desecrated B	22	198	7	1024	800	800	800	0	Act 5 (N) Equip C	15	Act 5 (N) Junk	3	Act 5 (N) Good	1	bs3	2	ts4	1																				0
Mephisto (N) Desecrated C	22	219	7	1024	800	800	800	0	Act 3 (H) Equip A	15	Act 3 (H) Junk	3	Act 3 (H) Good	1	bs3	2	ts4	1																				0
Mephisto (H)			7	1024	800	800	800	0	Act 4 (H) Equip A	22	Act 4 (H) Junk	3	Act 4 (H) Good	1	ceh	1	bt3	2	ts4	1	card p65	1	Ancient Statue 3	1	socket item groups	1												0
Mephisto Item (H) Desecrated A			7	1024	800	800	800	0	Act 4 (H) Equip B	22	Act 4 (H) Junk	3	Act 4 (H) Good	1	ceh	1	bt3	2	ts4	1	ts5	1	Ancient Statue 3	1														0
Mephisto Item (H) Desecrated B			7	1024	800	800	800	0	Act 5 (H) Equip A	22	Act 5 (H) Junk	3	Act 5 (H) Good	1	ceh	1	bt3	2	ts4	1	ts5	1	Ancient Statue 3	1														0
Mephisto Item (H) Desecrated C			7	1024	800	800	800	0	Act 5 (H) Equip B	22	Act 5 (H) Junk	3	Act 5 (H) Good	1	ceh	1	bt3	2	ts4	1	ts5	1	Ancient Statue 3	1														0
Mephisto Item (H) Desecrated D			2	1024	800	800	800	0	Act 5 (H) Equip C	22	Act 5 (H) Junk	3	Act 5 (H) Good	1	ceh	1	bt3	2	ts4	1	ts5	1	Ancient Statue 3	1														0
Mephisto (H) Desecrated A	22	261	-3					0	Sunder Charms	1	card p65	1	Mephisto Item (H) Desecrated A	1																								0
Mephisto (H) Desecrated B	22	270	-3					0	Sunder Charms	1	card p65	1	Mephisto Item (H) Desecrated B	1																								0
Mephisto (H) Desecrated C	22	279	-3					0	Sunder Charms	1	card p65	1	Mephisto Item (H) Desecrated C	1																								0
Mephisto (H) Desecrated D	22	288	-3					0	Sunder Charms	1	card p65	1	Mephisto Item (H) Desecrated D	1																								0
Mephistoq			7	1024	800	800	800	0	Act 4 Equip A	52	Act 4 Good	3	br3	3	ts4	1	socket item groups	1																				0
Mephistoq (N)			7	1024	800	800	800	0	Act 4 (N) Equip A	52	Act 4 (N) Good	3	bs3	3	ts4	1	socket item groups	1																				0
Mephistoq (H)			7	1024	800	800	800	0	Act 4 (H) Equip A	52	Act 4 (H) Good	3	ceh	1	bt3	3	ts4	1	card p65	1	socket item groups	1																0
Diablo			7	1024	800	800	800	0	Act 5 Equip A	4	Act 5 Junk	5	Act 5 Good	1	br4	2	ts4	1	socket item groups	1																		0
Diablo Desecrated A	23	120	7	1024	800	800	800	0	Act 1 (N) Equip A	4	Act 1 (N) Junk	5	Act 1 (N) Good	1	br4	2	ts4	1																				0
Diablo Desecrated B	23	144	7	1024	800	800	800	0	Act 3 (N) Equip A	4	Act 3 (N) Junk	5	Act 3 (N) Good	1	br4	2	ts4	1																				0
Diablo (N)			7	1024	800	800	800	0	Act 5 (N) Equip A	4	Act 5 (N) Junk	5	Act 5 (N) Good	1	bs4	2	ts4	1	socket item groups	1																		0
Diablo (N) Desecrated A	23	186	7	1024	800	800	800	0	Act 5 (N) Equip A	4	Act 5 (N) Junk	5	Act 5 (N) Good	1	bs4	2	ts4	1																				0
Diablo (N) Desecrated B	23	201	7	1024	800	800	800	0	Act 1 (H) Equip A	4	Act 1 (H) Junk	5	Act 1 (H) Good	1	bs4	2	ts4	1																				0
Diablo (N) Desecrated C	23	219	7	1024	800	800	800	0	Act 3 (H) Equip A	4	Act 3 (H) Junk	5	Act 3 (H) Good	1	bs4	2	ts4	1																				0
Diablo (H)			7	1024	800	800	800	0	Act 5 (H) Equip A	8	Act 5 (H) Junk	10	Act 5 (H) Good	5	bet	3	bt4	3	xp1	1	ts4	1	card p66	1	Ancient Statue 4	1	socket item groups	1										0
Diablo Item (H) Desecrated A			2	1024	800	800	800	0	Act 5 (H) Equip B	8	Act 5 (H) Junk	10	Act 5 (H) Good	5	bet	3	bt4	3	xp1	1	ts4	1	ts5	1	Ancient Statue 4	1												0
Diablo Item (H) Desecrated B			2	1024	800	800	800	0	Act 5 (H) Equip C	8	Act 5 (H) Junk	10	Act 5 (H) Good	5	bet	3	bt4	3	xp1	1	ts4	1	ts5	1	Ancient Statue 4	1												0
Diablo (H) Desecrated A	23	282	-3					0	Sunder Charms	1	Diablo Item (H) Desecrated A	1	card p66	1																								0
Diablo (H) Desecrated B	23	288	-3					0	Sunder Charms	1	Diablo Item (H) Desecrated B	1	card p66	1																								0
Diabloq			7	1024	800	800	800	0	Act 5 Equip A	22	Act 5 Good	1	br4	3	ts4	1	socket item groups	1																				0
Diabloq (N)			7	1024	800	800	800	0	Act 5 (N) Equip A	22	Act 5 (N) Good	1	bs4	3	ts4	1	socket item groups	1																				0
Diabloq (H)			7	1024	800	800	800	0	Act 5 (H) Equip A	28	Act 5 (H) Good	4	bet	1	uar	1	bt4	3	ts4	1	card p66	1	socket item groups	1														0
Summoner			5	1024	800	800	800	0	Act 2 Equip C	3	Act 3 Junk	3	Act 2 Good	3	Act 3 Magic A	2																						0
Summoner Desecrated A	24	54	5	1024	800	800	800	0	Act 2 Equip C	3	Act 3 Junk	3	Act 2 Good	3	Act 3 Magic A	2																						0
Summoner Desecrated B	24	96	5	1024	800	800	800	0	Act 4 Equip B	3	Act 5 Junk	3	Act 4 Good	3	Act 5 Magic A	2																						0
Summoner Desecrated C	24	144	5	1024	800	800	800	0	Act 3 (N) Equip C	3	Act 4 (N) Junk	3	Act 3 (N) Good	3	Act 4 (N) Magic A	2																						0
Summoner (N)			5	1024	800	800	800	0	Act 2 (N) Equip C	3	Act 3 (N) Junk	3	Act 2 (N) Good	3	Act 3 (N) Magic A	2																						0
Summoner (N) Desecrated A	24	165	5	1024	800	800	800	0	Act 4 (N) Equip A	3	Act 5 (N) Junk	3	Act 4 (N) Good	3	Act 5 (N) Magic A	2																						0
Summoner (N) Desecrated B	24	189	5	1024	800	800	800	0	Act 5 (N) Equip A	3	Act 1 (H) Junk	3	Act 5 (N) Good	3	Act 1 (H) Magic A	2																						0
Summoner (N) Desecrated C	24	219	5	1024	800	800	800	0	Act 3 (H) Equip A	3	Act 3 (H) Junk	3	Act 3 (H) Good	3	Act 3 (H) Magic A	2																						0
Summoner (H)			5	1024	800	800	800	0	Act 2 (H) Equip C	3	Act 3 (H) Junk	3	Act 2 (H) Good	3	Act 3 (H) Magic A	2	pk2	1	6ws	1	card p19	1																0
Summoner Item (H) Desecrated A			5	1024	800	800	800	0	Act 4 (H) Equip A	3	Act 5 (H) Junk	3	Act 4 (H) Good	3	Act 5 (H) Magic A	2	pk2	1																				0
Summoner Item (H) Desecrated B			5	1024	800	800	800	0	Act 4 (H) Equip B	3	Act 5 (H) Junk	3	Act 4 (H) Good	3	Act 5 (H) Magic B	2	pk2	1																				0
Summoner Item (H) Desecrated C			5	1024	800	800	800	0	Act 4 (H) Equip C	3	Act 5 (H) Junk	3	Act 4 (H) Good	3	Act 5 (H) Magic A	2	pk2	1																				0
Summoner Item (H) Desecrated D			5	1024	800	800	800	0	Act 5 (H) Equip A	3	Act 5 (H) Junk	3	Act 5 (H) Good	3	Act 5 (H) Magic C	2	pk2	1																				0
Summoner Item (H) Desecrated E			5	1024	800	800	800	0	Act 5 (H) Equip B	3	Act 5 (H) Junk	3	Act 5 (H) Good	3	Act 5 (H) Magic C	2	pk2	1																				0
Summoner Item (H) Desecrated F			5	1024	800	800	800	0	Act 5 (H) Equip C	3	Act 5 (H) Junk	3	Act 5 (H) Good	3	Act 5 (H) Magic C	2	pk2	1	6ws	1																		0
Summoner (H) Desecrated A	24	240	-3					0	Sunder Charms	1	Summoner Item (H) Desecrated A	1	card p19	1																								0
Summoner (H) Desecrated B	24	252	-3					0	Sunder Charms	1	Summoner Item (H) Desecrated B	1	card p19	1																								0
Summoner (H) Desecrated C	24	261	-3					0	Sunder Charms	1	Summoner Item (H) Desecrated C	1	card p19	1																								0
Summoner (H) Desecrated D	24	270	-3					0	Sunder Charms	1	Summoner Item (H) Desecrated D	1	card p19	1																								0
Summoner (H) Desecrated E	24	279	-3					0	Sunder Charms	1	Summoner Item (H) Desecrated E	1	card p19	1																								0
Summoner (H) Desecrated F	24	288	-3					0	Sunder Charms	1	Summoner Item (H) Desecrated F	1	card p19	1																								0
Council			3	999	997	800	800	0	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3	Act 4 Magic A	4																						0
Council Desecrated A	25	84	3	999	997	800	800	0	Act 4 Equip B	15	Act 4 Junk	5	Act 4 Good	3	Act 4 Magic B	4																						0
Council Desecrated B	25	114	3	999	997	800	800	0	Act 5 Equip C	15	Act 5 Junk	5	Act 5 Good	3	Act 5 Magic C	4																						0
Council Desecrated C	25	144	3	999	997	800	800	0	Act 3 (N) Equip A	15	Act 3 (N) Junk	5	Act 3 (N) Good	3	Act 3 (N) Magic A	4																						0
Council (N)			3	999	997	800	800	0	Act 4 (N) Equip A	15	Act 4 (N) Junk	5	Act 4 (N) Good	3	Act 4 (N) Magic A	4																						0
Council (N) Desecrated A	25	171	3	999	997	800	800	0	Act 4 (N) Equip B	15	Act 4 (N) Junk	5	Act 4 (N) Good	3	Act 4 (N) Magic B	4																						0
Council (N) Desecrated B	25	198	3	999	997	800	800	0	Act 5 (N) Equip C	15	Act 5 (N) Junk	5	Act 5 (N) Good	3	Act 5 (N) Magic C	4																						0
Council (N) Desecrated C	25	219	3	999	997	800	800	0	Act 3 (H) Equip A	15	Act 3 (H) Junk	5	Act 3 (H) Good	3	Act 3 (H) Magic A	4																						0
Council (H)			3	999	997	800	800	0	Act 4 (H) Equip A	15	Act 4 (H) Junk	5	Act 4 (H) Good	3	Act 4 (H) Magic A	4																						0
Council Item (H) Desecrated A			3	999	997	800	800	0	Act 4 (H) Equip B	15	Act 4 (H) Junk	5	Act 4 (H) Good	3	Act 4 (H) Magic B	4																						0
Council Item (H) Desecrated B			3	999	997	800	800	0	Act 4 (H) Equip C	15	Act 4 (H) Junk	5	Act 4 (H) Good	3	Act 4 (H) Magic B	4																						0
Council Item (H) Desecrated C			3	999	997	800	800	0	Act 5 (H) Equip A	15	Act 5 (H) Junk	5	Act 5 (H) Good	3	Act 5 (H) Magic A	4																						0
Council Item (H) Desecrated D			3	999	997	800	800	0	Act 5 (H) Equip B	15	Act 5 (H) Junk	5	Act 5 (H) Good	3	Act 5 (H) Magic B	4																						0
Council Item (H) Desecrated E			3	999	997	800	800	0	Act 5 (H) Equip C	15	Act 5 (H) Junk	5	Act 5 (H) Good	3	Act 5 (H) Magic C	4																						0
Council (H) Desecrated A	25	255	-2					0	Sunder Charms	1	Council Item (H) Desecrated A	1																										0
Council (H) Desecrated B	25	261	-2					0	Sunder Charms	1	Council Item (H) Desecrated B	1																										0
Council (H) Desecrated C	25	270	-2					0	Sunder Charms	1	Council Item (H) Desecrated C	1																										0
Council (H) Desecrated D	25	279	-2					0	Sunder Charms	1	Council Item (H) Desecrated D	1																										0
Council (H) Desecrated E	25	288	-2					0	Sunder Charms	1	Council Item (H) Desecrated E	1																										0
Griswold			-3	1024	800	800	800	0	Act 1 Uitem C	1	Act 1 Melee B	2																										0
Griswold Desecrated A	26	24	-3	1024	800	800	800	0	Act 1 Uitem C	1	Act 1 Melee B	2																										0
Griswold Desecrated B	26	87	-3	1024	800	800	800	0	Act 4 Uitem B	1	Act 4 Melee B	2																										0
Griswold Desecrated C	26	144	-3	1024	800	800	800	0	Act 3 (N) Uitem A	1	Act 3 (N) Melee B	2																										0
Griswold (N)			-3	999	999	800	800	0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																										0
Griswold (N) Desecrated A	26	126	-3	999	999	800	800	0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																										0
Griswold (N) Desecrated B	26	171	-3	999	999	800	800	0	Act 1 (H) Uitem C	1	Act 3 (N) Melee B	2																										0
Griswold (N) Desecrated C	26	219	-3	999	999	800	800	0	Act 3 (H) Uitem C	1	Act 3 (H) Melee B	2																										0
Griswold (H)			-3	999	999	800	800	0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2	xar	1	card p06	1																						0
Griswold (H) Desecrated A	26	261	-5					0	Sunder Charms	1	Act 4 (H) Uitem B	1	Act 4 (H) Melee B	2	card p06	1																						0
Griswold (H) Desecrated B	26	270	-5					0	Sunder Charms	1	Act 5 (H) Uitem A	1	Act 5 (H) Melee A	2	card p06	1																						0
Griswold (H) Desecrated C	26	279	-5					0	Sunder Charms	1	Act 5 (H) Uitem B	1	Act 5 (H) Melee B	2	card p06	1																						0
Griswold (H) Desecrated D	26	288	-6					0	Sunder Charms	1	Act 5 (H) Uitem C	1	Act 5 (H) Melee C	2	xar	1	card p06	1																				0
Cow			1					0	g01	4	Act 5 Equip A	19	Act 5 Junk	19	Act 5 Good	3																						0
Cow (N)			1					0	g01	3	Act 5 (N) Equip A	19	Act 5 (N) Junk	19	Act 5 (N) Good	3	xap	1	stu	1	vbt	1																0
Cow (H)			1					0	g02	2	Act 5 (H) Equip B	19	Act 5 (H) Junk	19	Act 5 (H) Good	3	xap	1	stu	1	vbt	1																0
Trapped Soul			1					0	g01	4	Act 4 Equip A	8	Act 4 Junk	33																								0
Trapped Soul (N)			1					0	g01	3	Act 4 (N) Equip A	8	Act 4 (N) Junk	33																								0
Trapped Soul (H)			1					0	g02	2	Act 4 (H) Equip A	8	Act 4 (H) Junk	33																								0
Haphesto			5	1024	800	800	800	0	Act 5 Equip A	19	Act 5 Junk	5	Act 5 Good	3																								0
Haphesto Desecrated A	27	84	5	1024	800	800	800	0	Act 5 Equip A	19	Act 5 Junk	5	Act 5 Good	3																								0
Haphesto Desecrated B	27	114	5	1024	800	800	800	0	Act 5 Equip C	19	Act 5 Junk	5	Act 5 Good	3																								0
Haphesto Desecrated C	27	144	5	1024	800	800	800	0	Act 3 (N) Equip C	19	Act 3 (N) Junk	5	Act 3 (N) Good	3																								0
Haphesto (N)			5	1024	800	800	800	0	Act 5 (N) Equip A	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																								0
Haphesto (N) Desecrated A	27	180	5	1024	800	800	800	0	Act 5 (N) Equip A	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																								0
Haphesto (N) Desecrated B	27	198	5	1024	800	800	800	0	Act 5 (N) Equip C	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																								0
Haphesto (N) Desecrated C	27	219	5	1024	800	800	800	0	Act 3 (H) Equip A	19	Act 3 (H) Junk	5	Act 3 (H) Good	3																								0
Haphesto (H)			5	1024	800	800	800	0	Act 5 (H) Equip A	19	Act 5 (H) Junk	5	Act 5 (H) Good	3	card p42	1																						0
Haphesto Item (H) Desecrated A			5	1024	800	800	800	0	Act 5 (H) Equip A	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																								0
Haphesto Item (H) Desecrated B			5	1024	800	800	800	0	Act 5 (H) Equip B	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																								0
Haphesto Item (H) Desecrated C			5	1024	800	800	800	0	Act 5 (H) Equip C	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																								0
Haphesto (H) Desecrated A	27	264	-3					0	Sunder Charms	1	Haphesto Item (H) Desecrated A	1	card p42	1																								0
Haphesto (H) Desecrated B	27	279	-3					0	Sunder Charms	1	Haphesto Item (H) Desecrated B	1	card p42	1																								0
Haphesto (H) Desecrated C	27	288	-3					0	Sunder Charms	1	Haphesto Item (H) Desecrated C	1	card p42	1																								0
Nihlathak			5	1024	800	800	800	0	Act 5 Equip B	19	Act 5 Junk	5	Act 5 Good	3																								0
Nihlathak Desecrated	28	204	5	1024	800	800	800	0	Act 3 (N) Equip A	19	Act 3 (N) Junk	5	Act 3 (N) Good	3																								0
Nihlathak (N)			5	1024	800	800	800	0	Act 5 (N) Equip B	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																								0
Nihlathak (N) Desecrated	28	219	5	1024	800	800	800	0	Act 3 (H) Equip A	19	Act 3 (H) Junk	5	Act 3 (H) Good	3																								0
Nihlathak (H)			5	1024	800	800	800	0	Act 5 (H) Equip B	19	Act 5 (H) Junk	5	Act 5 (H) Good	3	pk3	1	card p61	1																				0
Nihlathak Item (H) Desecrated			5	1024	800	800	800	0	"gld,mul=2048"	14	Act 5 (H) Equip C	19	Act 5 (H) Junk	5	Act 5 (H) Good	3	pk3	1																				0
Nihlathak (H) Desecrated	28	285	-3						Sunder Charms	1	Nihlathak Item (H) Desecrated	1	card p61	1																								0
Baal			7	1024	800	800	800	0	Act 1 (N) Equip A	52	Act 1 (N) Junk	5	Act 1 (N) Good	3	nickname 2	1	br5	4	ts4	1	socket item groups	1																0
Baal Desecrated	29	180	7	1024	800	800	800	0	Act 3 (N) Equip A	52	Act 3 (N) Junk	5	Act 3 (N) Good	3	nickname 2	1	br5	4	ts4	1																		0
Baal (N)			7	1024	800	800	800	0	Act 1 (H) Equip A	52	Act 1 (H) Junk	5	Act 1 (H) Good	3	nickname 3	1	bs5	4	ts4	1	socket item groups	1																0
Baal (N) Desecrated	29	225	7	1024	800	800	800	0	Act 3 (H) Equip A	52	Act 3 (H) Junk	5	Act 3 (H) Good	3	nickname 3	1	bs5	4	ts4	1																		0
Baal (H)			7	1024	800	800	800	20	Act 5 (H) Equip B	52	Act 5 (H) Junk	10	Act 5 (H) Good	10	fed	3	xp2	3	nickname 4	1	bt5	4	ts4	1	card p67	1	Ancient Statue 5	1										0
Baal Item (H) Desecrated			1	983	983	983	1024	20	Act 5 (H) Equip C	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	fed	3	xp2	4	nickname 4	1	bt5	4	ts4	1	ts5	1	Ancient Statue 5	1										0
Baal (H) Desecrated	29	297	-3					0	Sunder Charms	1	Baal Item (H) Desecrated	1	card p67	1	socket item groups	1																						0
Baalq			7	1024	800	800	800	0	Act 1 (N) Equip A	52	Act 1 (N) Good	3	nickname 2	1	br5	3	ts4	1	socket item groups	1																		0
Baalq (N)			7	1024	800	800	800	0	Act 1 (H) Equip A	52	Act 1 (H) Good	3	nickname 2	1	bs5	3	ts4	1	socket item groups	1																		0
Baalq (H)			7	1024	800	800	800	0	Act 5 (H) Equip B	52	Act 5 (H) Good	3	fed	2	xp2	2	nickname 4	2	bt5	3	ts4	1	card p67	1	socket item groups	1												0
Blood Raven			5	1024	800	800	800	0	Act 1 Equip B	19	Act 1 Junk	5	Act 1 Good	3	dol	1																						0
